appid,0,1,2,3,4,5,6,7
17330,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17410,2.0,0.0,0.0,0.0,5.0,0.0,2.0,3.0
17460,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17470,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
17710,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
18300,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
18500,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19900,4.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
20510,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20530,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20820,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20900,5.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0
20920,0.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0
21090,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
21130,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
21680,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
21690,2.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0
21980,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22000,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
22100,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
22120,0.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0
22180,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22200,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
22300,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22330,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22370,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
22380,5.0,0.0,0.0,5.0,0.0,0.0,0.0,2.0
22600,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23490,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
24010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
24240,1.0,0.0,0.0,3.0,0.0,0.0,0.0,5.0
24740,2.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0
24780,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24800,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
24960,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
24980,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25900,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26000,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29180,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32340,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32360,5.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
32370,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32380,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32400,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32430,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
32440,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33120,0.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0
33230,1.0,0.0,0.0,0.0,5.0,0.0,4.0,0.0
33320,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
34030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
34870,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
34900,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
35130,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
35140,5.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0
35450,0.0,0.0,0.0,3.0,5.0,5.0,0.0,3.0
35460,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35480,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35700,3.0,0.0,4.0,0.0,5.0,0.0,0.0,0.0
35720,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
37600,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38400,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38410,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
38600,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
38700,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38720,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39140,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39150,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39210,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
40300,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40390,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
40400,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40700,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
40990,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
41000,2.0,0.0,5.0,0.0,3.0,0.0,0.0,5.0
41070,2.0,0.0,5.0,0.0,0.0,2.0,0.0,5.0
41500,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41700,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
42120,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
42700,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
42910,3.0,0.0,0.0,2.0,2.0,0.0,0.0,5.0
44350,0.0,0.0,0.0,0.0,5.0,2.0,0.0,5.0
45760,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
47810,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47870,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
48000,2.0,0.0,1.0,5.0,1.0,2.0,0.0,2.0
48190,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
48240,5.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
48700,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
48720,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
49470,5.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
